,Job Location,Job Title,State,Minimum Salary,Maximum Salary,Average Salary,usa_state_latitude,usa_state_longitude,id,STATE_NAME,STATENS
0,AZ,Data Scientist,Arizona,51000,88000,70000,34.048928,-111.093731,4,Arizona,1779777
1,CA,Data Scientist,California,65000,202000,127000,36.778261,-119.417932,6,California,1779778
2,CO,Data Scientist,Colorado,64000,111000,88000,39.550051,-105.782067,8,Colorado,1779779
3,DC,Data Scientist,District of Columbia,72000,160000,127000,38.905985,-77.033418,11,District of Columbia,1702382
4,FL,Data Scientist,Florida,64000,114000,88000,27.664827,-81.515754,12,Florida,294478
5,GA,Data Scientist,Georgia,60000,99000,80000,32.157435,-82.907123,13,Georgia,1705317
6,IL,Data Scientist,Illinois,60000,111000,84000,40.633125,-89.398528,17,Illinois,1779784
7,IN,Data Scientist,Indiana,66000,111000,89000,40.551217,-85.602364,18,Indiana,448508
8,KY,Data Scientist,Kentucky,63000,105000,84000,37.839333,-84.270018,21,Kentucky,1779786
9,MA,Data Scientist,Massachusetts,70000,148000,108000,42.407211,-71.382437,25,Massachusetts,606926
10,MD,Data Scientist,Maryland,54000,160000,93000,39.045755,-76.641271,24,Maryland,1714934
11,MI,Data Scientist,Michigan,72000,120000,96000,44.314844,-85.602364,26,Michigan,1779789
12,MO,Data Scientist,Missouri,71000,176000,128000,37.964253,-91.831833,29,Missouri,1779791
13,NC,Data Scientist,North Carolina,78000,126000,102000,35.759573,-79.0193,37,North Carolina,1027616
14,NJ,Data Scientist,New Jersey,87000,141000,115000,40.058324,-74.405661,34,New Jersey,1779795
15,NM,Data Scientist,New Mexico,53000,95000,74000,34.97273,-105.032363,35,New Mexico,897535
16,NY,Data Scientist,New York,15000,179000,103000,43.299428,-74.217933,36,New York,1779796
17,OH,Data Scientist,Ohio,72000,135000,101000,40.417287,-82.907123,39,Ohio,1085497
18,OR,Data Scientist,Oregon,74000,124000,99000,43.804133,-120.554201,41,Oregon,1155107
19,PA,Data Scientist,Pennsylvania,61000,161000,105000,41.203322,-77.194525,42,Pennsylvania,1779798
20,TN,Data Scientist,Tennessee,70000,122000,96000,35.517491,-86.580447,47,Tennessee,1325873
21,TX,Data Scientist,Texas,53000,119000,86000,31.968599,-99.901813,48,Texas,1779801
22,VA,Data Scientist,Virginia,64000,177000,106000,37.431573,-78.656894,51,Virginia,1779803
23,WA,Data Scientist,Washington,56000,130000,87000,47.751074,-120.740139,53,Washington,1779804
